101 Dalmatians | 101 dalmatians | m.018gq3 | film.film.story_by | m.018k1r | Dodie Smith | Who wrote the 1956 novel ‘101 Dalmatians’? | Dodie Smith
The Joy of Sex | the joy of sex | m.01hm08 | book.written_work.author | m.01ht8z | Dr. Alex Comfort | Who wrote ‘The Joy of Sex’, first published in 1972? | Dr. Alex Comfort
The Joy of Sex | the joy of sex | m.059d0tf | book.book_edition.author_editor | m.01ht8z | Dr. Alex Comfort | Who wrote ‘The Joy of Sex’, first published in 1972? | Dr. Alex Comfort
Thelonious Monk | thelonious monk | m.0lgm5 | music.group_member.instruments_played | m.05r5c | Piano | US jazz Musician Thelonious Monk played which instrument? | Piano
the modfather | the modfather | m.01ydzx | common.topic.image | m.02ck9dt | Paul Weller | Which British singer and musician is known as ‘The Modfather’? | Paul Weller
the modfather | the modfather | m.01ydzx | music.artist.album | m.01lgl_l | Paul Weller | Which British singer and musician is known as ‘The Modfather’? | Paul Weller
The Monkees | the monkees | m.07qnf | user.fairestcat.bandom.band.members | m.01v2vkg | Davy Jones | The 1987 autobiography ‘They Made a Monkee Out of Me’ is by which member of The Monkees? | Davy Jones
Theodor Herzl | theodor herzl | m.0qlp_ | base.activism.activist.area_of_activism | m.089g6 | Zionism | In 1897, Theodor Herzl became the first President of the political form of which movement? | Zionism
theory of evolution | evolution | m.02j8z | base.argumentmaps.original_idea.innovator | m.01lwx | Charles Darwin | Which British scientist originated the theory of evolution based on natural selection? | Charles Darwin
theory of evolution | evolution | m.0c1t1mh | book.written_work.author | m.01lwx | Charles Darwin | Which British scientist originated the theory of evolution based on natural selection? | Charles Darwin
Theo | theo albrecht | m.03lgv8 | organization.organization_founder.organizations_founded | m.0246n2 | Aldi | Theo and Karl Albrecht were the original owners of which supermarket chain? | Aldi
Theravada | theravada | m.07mfk | religion.religion.is_part_of | m.092bf5 | Buddhism | Theravada and Mahayana are the main branches of which religion? | Buddhism
Theravada | theravada | m.07mfk | religion.religion.is_part_of | m.092bf5 | Buddhism | Theravada is a branch of which religion? | Buddhism
there and back again | there and back again | m.04xtm2p | book.book_edition.book | m.07g75 | The Hobbit | "There and back Again" is an alternative title of which novel | The Hobbit
there and back again | there and back again | m.0ljff3c | film.film.film_series | m.026ph7x | The Hobbit | "There and back Again" is an alternative title of which novel | The Hobbit
There Goes My Baby | there goes my baby | m.0fs3dfq | music.recording.artist | m.01trhmt | Usher | Who had a 2010 hit with “There Goes My Baby”? | Usher
There Goes My Baby | there goes my baby | m.0vpf26f | music.album.artist | m.01trhmt | Usher | Who had a 2010 hit with “There Goes My Baby”? | Usher
There is Nothing Like a Dame | there is nothing like a dame | m.0d40q5 | music.composition.recordings | m.0qjq8zk | South Pacific | The songs ‘There is Nothing Like a Dame’ and ‘Happy Talk’ are from which musical? | South Pacific
The Religious Society of Friends | quakers | m.025t7ly | religion.religion.founding_figures | m.03fxs | George Fox | Which English religious leader founded The Religious Society of Friends (Quakers) in the 17th Century? | George Fox
There You?ll Be | there you'll be | m.049rc4_ | music.album.artist | m.01wmgrf | Faith Hill | Which female singer recorded “There You’ll Be” featured in the movie Pearl Harbour? | Faith Hill
There You?ll Be | there you'll be | m.0d3n2j | film.film_featured_song.performed_by | m.01wmgrf | Faith Hill | Which female singer recorded “There You’ll Be” featured in the movie Pearl Harbour? | Faith Hill
There You?ll Be | there you'll be | m.0tn5lp | music.recording.artist | m.01wmgrf | Faith Hill | Which female singer recorded “There You’ll Be” featured in the movie Pearl Harbour? | Faith Hill
The Ring | the ring | m.07q9r | music.composition.composer | m.06c44 | Wagner | Who composed “The Ring Cycle”? | Wagner
The Ring | the ring | m.07q9r | music.composition.lyricist | m.06c44 | Wagner | Who composed “The Ring Cycle”? | Wagner
The Ring | the ring | m.07q9r | opera.opera.librettist | m.06c44 | Wagner | Who composed “The Ring Cycle”? | Wagner
The Ring | the ring | m.0c1t72v | book.written_work.author | m.06c44 | Wagner | Who composed “The Ring Cycle”? | Wagner
the Rolling Stones | the rolling stones | m.07mvp | music.artist.album | m.01hmy3x | Sticky Fingers | What album cover (by the Rolling Stones) had a zip on the side | Sticky Fingers
The Simpsons | the simpsons | m.07c72 | tv.tv_program.episodes | m.06nqy6 | Radioactive Man | In `The Simpsons`, Fallout Boy is the side-kick to who? | Radioactive Man
The Simpsons | the simpsons | m.07c72 | tv.tv_program.program_creator | m.04s04 | Matt Groening | Who created the TV series `The Simpsons`? | Matt Groening
The Simpsons | the simpsons | m.0cw4dm | tv.tv_series_season.episodes | m.06nqy6 | Radioactive Man | In `The Simpsons`, Fallout Boy is the side-kick to who? | Radioactive Man
The Simpsons | the simpsons | m.0hpdvvj | fictional_universe.fictional_universe.characters | m.01b92f | Ned Flanders | In `The Simpsons` who runs the store called the Leftorium? | Ned Flanders
The Simpsons | the simpsons | m.0hpdvvj | fictional_universe.fictional_universe.characters | m.025tw3q | Snowball | In The Simpsons name the cat | Snowball
The Simpsons | the simpsons | m.0hpdvvj | fictional_universe.fictional_universe.characters | m.0h8k5 | Radioactive Man | In `The Simpsons`, Fallout Boy is the side-kick to who? | Radioactive Man
The Simpsons | the simpsons | m.0hpdvvj | fictional_universe.fictional_universe.characters | m.0h8x6 | Sideshow Bob | In the television series ‘The Simpsons’, what is the name of the ‘evil genius’ who has sworn to take revenge on Bart? | Sideshow Bob
The Simpsons | the simpsons | m.0hpdvvj | fictional_universe.fictional_universe.characters | m.0h8x6 | Sideshow Bob | In the TV show The Simpsons, how is the character of Robert Terwilliger normally known? | Sideshow Bob
The Simpsons | the simpsons | m.0hpdvvj | fictional_universe.fictional_universe.contains_fictional_settings | m.01gk7f | Kwik-E-Mart | What is the name of the convenience store in the tv cartoon show ‘The Simpsons’? | Kwik-E-Mart
The Simpsons | the simpsons | m.0hpdvvj | fictional_universe.fictional_universe.contains_fictional_settings | m.0m3n5 | Springfield | What is the name of the city in which The Simpsons live? | Springfield
The Simpsons | the simpsons | m.0hpdvvj | fictional_universe.fictional_universe.locations | m.01gk7f | Kwik-E-Mart | What is the name of the convenience store in the tv cartoon show ‘The Simpsons’? | Kwik-E-Mart
The Simpsons | the simpsons | m.0hpdvvj | fictional_universe.fictional_universe.locations | m.0m3n5 | Springfield | What is the name of the city in which The Simpsons live? | Springfield
The Simpsons | the simpsons | m.0hpdvvj | fictional_universe.fictional_universe.organizations | m.01gk7f | Kwik-E-Mart | What is the name of the convenience store in the tv cartoon show ‘The Simpsons’? | Kwik-E-Mart
The Sweet Escape | the sweet escape | m.03g25s7 | music.album.artist | m.016fnb | Gwen Stefani | Which female featured on the 2007 track “The Sweet Escape”? | Gwen Stefani
The Sweet Escape | the sweet escape | m.0bb81l6 | music.composition.composer | m.016fnb | Gwen Stefani | Which female featured on the 2007 track “The Sweet Escape”? | Gwen Stefani
The Sweet Escape | the sweet escape | m.0bb81l6 | music.composition.composer | m.0dt1cm | Akon | Who featured with Gwen Stefani in the 2007 hit “The Sweet Escape”? | Akon
The Sweet Escape | the sweet escape | m.0bfgmk6 | music.release.producers | m.0dt1cm | Akon | Who featured with Gwen Stefani in the 2007 hit “The Sweet Escape”? | Akon
The Sweet Escape | the sweet escape | m.0f80y7k | music.recording.artist | m.0dt1cm | Akon | Who featured with Gwen Stefani in the 2007 hit “The Sweet Escape”? | Akon
The Sweet Escape | the sweet escape | m.0fd9szy | music.album.featured_artists | m.0dt1cm | Akon | Who featured with Gwen Stefani in the 2007 hit “The Sweet Escape”? | Akon
The Sweet Escape | the sweet escape | m.0fdp29q | music.recording.artist | m.016fnb | Gwen Stefani | Which female featured on the 2007 track “The Sweet Escape”? | Gwen Stefani
The Sweet Escape | the sweet escape | m.0fdp29q | music.recording.featured_artists | m.0dt1cm | Akon | Who featured with Gwen Stefani in the 2007 hit “The Sweet Escape”? | Akon
The Sweet Escape | the sweet escape | m.0m55cjn | music.music_video.artist | m.016fnb | Gwen Stefani | Which female featured on the 2007 track “The Sweet Escape”? | Gwen Stefani
The Sweet Escape | the sweet escape | m.0m55cjn | music.music_video.artist | m.0dt1cm | Akon | Who featured with Gwen Stefani in the 2007 hit “The Sweet Escape”? | Akon
The Trial | the trial | m.028yhfz | book.book_edition.author_editor | m.03f0324 | Kafka | Which Czech novelist wrote `The Trial`? Kafka or Kapra? | Kafka
The Trial | the trial | m.02y0f | book.written_work.author | m.03f0324 | Kafka | Which Czech novelist wrote `The Trial`? Kafka or Kapra? | Kafka
The Trial | the trial | m.0bh75n | film.film.story_by | m.03f0324 | Kafka | Which Czech novelist wrote `The Trial`? Kafka or Kapra? | Kafka
thigh | thigh | m.0bp_9_c | base.skosbase.skos_concept.narrower | m.0bnz6rf | Femur | What is the name of the bone in a human`s thigh? | Femur
Thimble Theatre | popeye | m.0vx2p86 | comic_strips.comic_strip.characters | m.015mgv | Olive Oyl | Who first appeared in the cartoon strip Thimble Theatre | Olive Oyl
Thin Blue Line | the thin blue line | m.02txgy | film.film.directed_by | m.02k0l | Errol Morris | Which US documentary film maker made the 1988 film ‘The Thin Blue Line’, depicting the story of Randall Adams who was wrongly sentenced for murder? | Errol Morris
Thin Blue Line | the thin blue line | m.02txgy | film.film.written_by | m.02k0l | Errol Morris | Which US documentary film maker made the 1988 film ‘The Thin Blue Line’, depicting the story of Randall Adams who was wrongly sentenced for murder? | Errol Morris
Things Have Changed | things have changed | m.0130d3d | music.recording.artist | m.01vrncs | Bob Dylan | Which famous singer-songwriter won an Academy Award in 2001 for the song `Things Have Changed` from the film `Wonder Boys`? | Bob Dylan
Things Have Changed | things have changed | m.01h7dfm | music.album.artist | m.01vrncs | Bob Dylan | Which famous singer-songwriter won an Academy Award in 2001 for the song `Things Have Changed` from the film `Wonder Boys`? | Bob Dylan
Things Have Changed | things have changed | m.02qybtk | film.film_featured_song.performed_by | m.01vrncs | Bob Dylan | Which famous singer-songwriter won an Academy Award in 2001 for the song `Things Have Changed` from the film `Wonder Boys`? | Bob Dylan
Things Have Changed | things have changed | m.02qybtk | music.composition.composer | m.01vrncs | Bob Dylan | Which famous singer-songwriter won an Academy Award in 2001 for the song `Things Have Changed` from the film `Wonder Boys`? | Bob Dylan
Things Have Changed | things have changed | m.02qybtk | music.composition.lyricist | m.01vrncs | Bob Dylan | Which famous singer-songwriter won an Academy Award in 2001 for the song `Things Have Changed` from the film `Wonder Boys`? | Bob Dylan
Thinker | the thinker | m.030ljv | visual_art.artwork.artist | m.0wgm | Rodin | Which sculptor created `The Thinker`? | Rodin
Thinker | the thinker | m.030ljv | visual_art.artwork.art_subject | m.028p0 | Dante | Rodin's The Thinker is really a portrait of what Italian poet | Dante
Thinker | the thinker | m.0bhk1ry | book.written_work.author | m.0wgm | Rodin | Which sculptor created `The Thinker`? | Rodin
Third Eye Blind | third eye blind | m.02gn01 | music.artist.origin | m.0d6lp | San Francisco | Third Eye Blind hail from which city? | San Francisco
This Is Me Then | this is me... then | m.01hl0yt | music.album.artist | m.043zg | Jennifer Lopez | In 2002, which actress/singer released the album `This Is Me Then`? | Jennifer Lopez
This Ole House | this ole house | m.0f79ydc | music.recording.artist | m.0h8hk | Rosemary Clooney | Which female singer had hits in the 1950s with “Botch a Me” and “This Ole House”? | Rosemary Clooney
This Used to Be My Playground | this used to be my playground | m.01h91p3 | music.album.artist | m.01vs_v8 | Madonna | Who scored a No.1 hit with “This Used to Be My Playground”? | Madonna
This Used to Be My Playground | this used to be my playground | m.09x_72 | music.composition.composer | m.01vs_v8 | Madonna | Who scored a No.1 hit with “This Used to Be My Playground”? | Madonna
This Used to Be My Playground | this used to be my playground | m.0lfbt1 | music.recording.artist | m.01vs_v8 | Madonna | Who scored a No.1 hit with “This Used to Be My Playground”? | Madonna
This Used to Be My Playground | this used to be my playground | m.0lfbt1 | music.recording.producer | m.01vs_v8 | Madonna | Who scored a No.1 hit with “This Used to Be My Playground”? | Madonna
Thomas Beecham | thomas beecham | m.012_lx | people.deceased_person.place_of_death | m.04jpl | London | Thomas Beecham founded the now world famous Symphony Orchestra in which city? | London
Thomas Cup | thomas cup | m.05j16w | sports.sports_league.sport | m.0194d | Badminton | In which sport are the Thomas Cup, Uber Cup and Sudiman Cup tournaments played? | Badminton
Thomas Gainsborogh | thomas gainsborough | m.07ncv | visual_art.visual_artist.artworks | m.07nmx5 | The Blue Boy | The valet costume worn by Django in the 2012 film ‘Django Unchained’ was inspired by which painting by Thomas Gainsborogh? | The Blue Boy
Thomas Gradgrind | gradgrind | m.07rpz8 | book.book_character.appears_in_book | m.03g9m8 | Hard Times | School Master Thomas Gradgrind is a character in which Charles Dickens novel? | Hard Times
Thomas Gradgrind | gradgrind | m.07rpz8 | book.book_character.appears_in_book | m.03g9m8 | Hard Times | Sissy Jupe adopted by Thomas Gradgrind which Dickens novel | Hard Times
Thomas Hardy | thomas hardy | m.0c5tl | book.author.book_editions_published | m.04vf6vp | The Mayor of Casterbridge | Which 1886 novel by Thomas Hardy is subtitled ‘The Life and Death of a Man of Character’? | The Mayor of Casterbridge
Thomas Hardy | thomas hardy | m.0c5tl | film.film_story_contributor.film_story_credits | m.04j2knp | The Mayor of Casterbridge | Which 1886 novel by Thomas Hardy is subtitled ‘The Life and Death of a Man of Character’? | The Mayor of Casterbridge
Thomas Keneally | thomas keneally | m.0h6tb | book.author.works_written | m.0c1tgfj | Australia | Thomas Keneally, author of ‘Schindler’s Ark’ was born in which country? | Australia
Thomas Keneally | thomas keneally | m.0h6tb | people.person.nationality | m.0chghy | Australia | Thomas Keneally, author of ‘Schindler’s Ark’ was born in which country? | Australia
Thomas O Malley | thomas o'malley | m.05t_8r7 | fictional_universe.fictional_character.species | m.01yrx | Cat | What kind of creature is the Disney character “Thomas O Malley”? | Cat
Thomas Woodward | thomas woodward | m.0qgq_81 | people.person.children | m.0cg9y | Tom Jones | Which famous singer was born Thomas Woodward in 1940? | Tom Jones
Thomson | thomson | m.03g3qh | people.person.nationality | m.02jx1 | England | Thomson Airways are based in which country? | England
Thorn Birds | the thorn birds | m.021ncg | book.written_work.author | m.021ndy | Colleen McCullough | Who wrote the 1977 novel ‘The Thorn Birds’? | Colleen McCullough
Thorn Birds | the thorn birds | m.04v9zlj | book.book_edition.author_editor | m.021ndy | Colleen McCullough | Who wrote the 1977 novel ‘The Thorn Birds’? | Colleen McCullough
Thor | thor | m.0fl9gg | fictional_universe.fictional_character.has_possessed | m.06f8ll | Mjolnir | What was the name of Norse God Thor's hammer | Mjolnir
Thousand Leagues | twenty thousand leagues under the sea | m.04v0800 | book.book_edition.author_editor | m.04093 | Jules Verne | Who wrote the 1870 novel ‘Twenty Thousand Leagues Under the Sea’? | Jules Verne
Thousand Leagues | twenty thousand leagues under the sea | m.09hhj | book.written_work.author | m.04093 | Jules Verne | Who wrote the 1870 novel ‘Twenty Thousand Leagues Under the Sea’? | Jules Verne
Thousand Miles | 1000 miles | m.0f752xf | music.recording.artist | m.02sj66 | Vanessa Carlton | Who had a hit single in 2002 with “A Thousand Miles”? | Vanessa Carlton
Thousand Suns | a thousand suns | m.0fw_vw9 | music.album.artist | m.04qmr | Linkin Park | Who released their fourth album “A Thousand Suns” in 2010? | Linkin Park
Three Cheers for Sweet Revenge | three cheers for sweet revenge | m.01mn7g4 | music.album.artist | m.03r2qm | My Chemical Romance | Three Cheers for Sweet Revenge is an album by which band? | My Chemical Romance
Three Colours` trilogy | three colors trilogy | m.036nm_ | film.film_series.films_in_series | m.01470k | Three Colours: Blue | What was the first in Krzysztof Kieslowski`s `Three Colours` trilogy of films called? | Three Colours: Blue
Three Colours` trilogy | three colors trilogy | m.036nm_ | film.film_series.films_in_series | m.014bjk | Red | What was the final film in Krzysztof Kieslowski`s `Three Colours` trilogy? Red, White or Blue? | Red
Three Hostages | the three hostages | m.07gr49 | book.book.characters | m.059by8 | Richard Hannay | Greenmantle, Three Hostages, Island of Sheep which character | Richard Hannay
Three Musketeers | the three musketeers | m.01fsfy | book.written_work.author | m.014nvr | Alexander Dumas | Who wrote the novel `The Three Musketeers`? | Alexander Dumas
Three Musketeers | the three musketeers | m.04vxc45 | book.book_edition.author_editor | m.014nvr | Alexander Dumas | Who wrote the novel `The Three Musketeers`? | Alexander Dumas
Three Musketeers | the three musketeers | m.0hncrb8 | film.film.story_by | m.014nvr | Alexander Dumas | Who wrote the novel `The Three Musketeers`? | Alexander Dumas
Three Musketeers | the three musketeers | m.0hncrb8 | film.film.written_by | m.014nvr | Alexander Dumas | Who wrote the novel `The Three Musketeers`? | Alexander Dumas
Three Sisters | three sisters | m.02yd6c | book.written_work.author | m.0zm1 | Anton Chekov | What playwright wrote The Three Sisters and The Cherry Orchard | Anton Chekov
Three Sisters | three sisters | m.0c17nz | film.film.story_by | m.0zm1 | Anton Chekov | What playwright wrote The Three Sisters and The Cherry Orchard | Anton Chekov
Three Studies of Lucian Freud | three studies of lucian freud | m.0z686sy | visual_art.artwork.artist | m.01d7g0 | Francis Bacon | Three Studies of Lucian Freud sold for $142 Million. Who was the artist? | Francis Bacon
thriller | thriller | m.01jfsb | film.film_genre.films_in_this_genre | m.0f1yt5 | Invasion of the Body Snatchers | Which classic sci-fi thriller was originally made in 1956 and re-made in 1978, with another version made in 1993? | Invasion of the Body Snatchers
thriller | thriller | m.01jfsb | media_common.netflix_genre.titles | m.026hh0m | Invasion of the Body Snatchers | Which classic sci-fi thriller was originally made in 1956 and re-made in 1978, with another version made in 1993? | Invasion of the Body Snatchers
Thumbelina | thumbelina | m.018kwpf | music.recording.artist | m.03f7m4h | Barry Manilow | In the animated film `Thumbelina`, who sang `Let Me Be Your Wings`? | Barry Manilow
Thumbelina | thumbelina | m.09f38n | film.film.music | m.03f7m4h | Barry Manilow | In the animated film `Thumbelina`, who sang `Let Me Be Your Wings`? | Barry Manilow
Thumper | thumper | m.027248w | fictional_universe.fictional_character.species | m.06mf6 | Rabbit | What kind of animal is Bambi’s friend Thumper? | Rabbit
Thunderbirds | thunderbirds | m.02d6rv | film.film.written_by | m.0168q7 | Sylvia Anderson | The fictional television character Lady Penelope, who appeared in ‘Thunderbirds’, was created and voiced by who in the original series? | Sylvia Anderson
Thunderbirds | thunderbirds | m.05qbxyl | book.literary_series.author_s | m.0168q7 | Sylvia Anderson | The fictional television character Lady Penelope, who appeared in ‘Thunderbirds’, was created and voiced by who in the original series? | Sylvia Anderson
Thunderbirds | thunderbirds | m.07nk4 | tv.tv_program.program_creator | m.0168q7 | Sylvia Anderson | The fictional television character Lady Penelope, who appeared in ‘Thunderbirds’, was created and voiced by who in the original series? | Sylvia Anderson
THX 1138 | thx 1138 | m.05qgvtj | book.written_work.author | m.01d2wb | George Lucas | Which director`s first film was called `THX 1138`? | George Lucas
THX1138 | thx 1138 | m.05qgvtj | book.written_work.author | m.01d2wb | George Lucas | Who's first film (THX1138) flopped in 1971  | George Lucas
THX 1138 | thx 1138 | m.07nz_ | film.film.directed_by | m.0343h | George Lucas | Which director`s first film was called `THX 1138`? | George Lucas
THX1138 | thx 1138 | m.07nz_ | film.film.directed_by | m.0343h | George Lucas | Who's first film (THX1138) flopped in 1971  | George Lucas
THX 1138 | thx 1138 | m.07nz_ | film.film.edited_by | m.0343h | George Lucas | Which director`s first film was called `THX 1138`? | George Lucas
THX1138 | thx 1138 | m.07nz_ | film.film.edited_by | m.0343h | George Lucas | Who's first film (THX1138) flopped in 1971  | George Lucas
THX 1138 | thx 1138 | m.07nz_ | film.film.story_by | m.0343h | George Lucas | Which director`s first film was called `THX 1138`? | George Lucas
THX1138 | thx 1138 | m.07nz_ | film.film.story_by | m.0343h | George Lucas | Who's first film (THX1138) flopped in 1971  | George Lucas
THX 1138 | thx 1138 | m.07nz_ | film.film.written_by | m.0343h | George Lucas | Which director`s first film was called `THX 1138`? | George Lucas
THX1138 | thx 1138 | m.07nz_ | film.film.written_by | m.0343h | George Lucas | Who's first film (THX1138) flopped in 1971  | George Lucas
Tiahuanaco | tiwanaku | m.018d8m | location.location.containedby | m.0165v | Bolivia | In what country is Tiahuanaco | Bolivia
Tianamen Square | tiananmen square | m.0c463 | location.location.containedby | m.01914 | Beijing | In which city is Tianamen Square where over 1,000 demonstraters were killed in 1989? | Beijing
Tianamen Square | tiananmen square | m.0c463 | travel.tourist_attraction.near_travel_destination | m.01914 | Beijing | In which city is Tianamen Square where over 1,000 demonstraters were killed in 1989? | Beijing
Tia | tia | m.0h2y40q | book.book_character.appears_in_book | m.029dtz | Escape to Witch Mountain | Aristotle Bolt, Tia Malone and Biff Jenkins are all characters in which 1975 Disney film? | Escape to Witch Mountain
tibia | tibia | m.0bqjbmg | base.skosbase.skos_concept.broader | m.0bp2899 | Leg | The tibia is a part of which area on the human body? | Leg
Ticino | ticino | m.0lfyd | base.aareas.schema.administrative_area.administrative_parent | m.06mzp | Switzerland | Vaud, Ticino and Jura are cantons of which European country? | Switzerland
Ticino | ticino | m.0lfyd | location.administrative_division.country | m.06mzp | Switzerland | Vaud, Ticino and Jura are cantons of which European country? | Switzerland
Ticino | ticino | m.0lfyd | location.administrative_division.first_level_division_of | m.06mzp | Switzerland | Vaud, Ticino and Jura are cantons of which European country? | Switzerland
Ticino | ticino | m.0lfyd | location.location.containedby | m.06mzp | Switzerland | Vaud, Ticino and Jura are cantons of which European country? | Switzerland
Ticino | ticino | m.0q9tm | geography.river.basin_countries | m.06mzp | Switzerland | Vaud, Ticino and Jura are cantons of which European country? | Switzerland
Ticino | ticino | m.0q9tm | location.location.partially_containedby | m.06mzp | Switzerland | Vaud, Ticino and Jura are cantons of which European country? | Switzerland
Tiger Feet | tiger feet | m.01d_l5q | music.recording.artist | m.01ltqpy | Mud | Who had a hit with Tiger Feet | Mud
Tiger Feet | tiger feet | m.01d_l5q | music.recording.artist | m.01ltqpy | Mud | Who had a number one hit with `Tiger Feet` in 1974? | Mud
Tiger Feet | tiger feet | m.0np4cd3 | music.album.artist | m.01ltqpy | Mud | Who had a hit with Tiger Feet | Mud
Tiger Feet | tiger feet | m.0np4cd3 | music.album.artist | m.01ltqpy | Mud | Who had a number one hit with `Tiger Feet` in 1974? | Mud
Tiger Woods | tiger woods | m.012mlnsf | music.recording.artist | m.01rrxr | Red | What colour shirt does Tiger Woods traditionally wear on the last day of a golf tournament? | Red
Tiger Woods | tiger woods | m.0bwdn | people.person.nationality | m.09c7w0 | USA | Which country does Tiger Woods represent? | USA
Tiger Wood | tiger woods | m.012mlnsf | music.recording.artist | m.01rrxr | Red | Which colour does Tiger Wood always wear on the last day of a golf tournament? | Red
Tightwad | tightwad | m.0wvzv | location.location.containedby | m.04ych | Missouri | The village of Tightwad is in which US state? | Missouri
Tightwad | tightwad, missouri | m.0wvzv | location.location.containedby | m.04ych | Missouri | The village of Tightwad is in which US state? | Missouri
Tilburg | tilburg | m.0988h | base.biblioness.bibs_location.country | m.059j2 | Netherlands | Almere, Tilburg and Breda are all cities in which European country? | Netherlands
Tilburg | tilburg | m.0988h | location.administrative_division.second_level_division_of | m.059j2 | Netherlands | Almere, Tilburg and Breda are all cities in which European country? | Netherlands
Tilburg | tilburg | m.0988h | location.location.containedby | m.059j2 | Netherlands | Almere, Tilburg and Breda are all cities in which European country? | Netherlands
Till Brooklyn | no sleep till brooklyn | m.018qsns | music.recording.artist | m.017j6 | Beastie Boys | `No Sleep Till Brooklyn` was a hit single for which group in 1987? | Beastie Boys
Till Brooklyn | no sleep till brooklyn | m.01kbndw | music.album.artist | m.017j6 | Beastie Boys | `No Sleep Till Brooklyn` was a hit single for which group in 1987? | Beastie Boys
Till Brooklyn | no sleep till brooklyn | m.031n3zk | music.release.producers | m.017j6 | Beastie Boys | `No Sleep Till Brooklyn` was a hit single for which group in 1987? | Beastie Boys
Till Brooklyn | no sleep till brooklyn | m.0fb15y | music.composition.composer | m.04n65n | Beastie Boys | `No Sleep Till Brooklyn` was a hit single for which group in 1987? | Beastie Boys
Till Brooklyn | no sleep till brooklyn | m.0fb15y | music.composition.lyricist | m.04n65n | Beastie Boys | `No Sleep Till Brooklyn` was a hit single for which group in 1987? | Beastie Boys
Till Brooklyn | no sleep till brooklyn | m.0llg29 | music.recording.producer | m.017j6 | Beastie Boys | `No Sleep Till Brooklyn` was a hit single for which group in 1987? | Beastie Boys
tilly trotter | tilly trotter | m.06m4b2s | book.written_work.author | m.03nmp_ | Catherine Cookson | Which English author wrote The Kate Hannigan series, The Mallen novels and The Tilly Trotter trilogy? | Catherine Cookson
Tilsiter | tilsit cheese | m.05p_pc | base.schemastaging.food_extra.broader | m.01nkt | Cheese | Brickbat, Pecorino, Mycella and Tilsiter all types of what | Cheese
Tilsiter | tilsit cheese | m.05p_pc | common.topic.notable_types | m.01xs0vd | Cheese | Brickbat, Pecorino, Mycella and Tilsiter all types of what | Cheese
Tilsit | tilsit cheese | m.05p_pc | base.schemastaging.food_extra.broader | m.01nkt | Cheese | Raclette, Tilsit and Sbrinz are all types of which foodstuff? | Cheese
Tilsit | tilsit cheese | m.05p_pc | common.topic.notable_types | m.01xs0vd | Cheese | Raclette, Tilsit and Sbrinz are all types of which foodstuff? | Cheese
Tim Brooke-Taylor | tim brooke-taylor | m.0fcj4 | tv.tv_program_creator.programs_created | m.0cjrns | The Goodies | British comedians Graeme Garden, Tim Brooke-Taylor and Bill Oddie were collectively known as who? | The Goodies
Tim Brook Taylor | tim brooke-taylor | m.0fcj4 | tv.tv_program_creator.programs_created | m.0cjrns | The Goodies | Bill Oddie, Tim Brook Taylor and Graeme Garden created and starred in which UK television sketch show? | The Goodies
Timbucktoo | timbuktu | m.010fhjbj | film.film.country | m.04v09 | Mali | Timbucktoo is in which country | Mali
Timbucktoo | timbuktu | m.01lp9j | location.location.containedby | m.04v09 | Mali | Timbucktoo is in which country | Mali
Timbucktoo | timbuktu | m.02hxgf4 | language.human_language.main_country | m.04v09 | Mali | Timbucktoo is in which country | Mali
Timbuktu | timbuktu | m.010fhjbj | film.film.country | m.04v09 | Mali | In which country is Timbuktu? | Mali
Timbuktu | timbuktu | m.010fhjbj | film.film.country | m.04v09 | Mali | The town of Timbuktu is in which African country? | Mali
Timbuktu | timbuktu | m.01lp9j | location.location.containedby | m.04v09 | Mali | In which country is Timbuktu? | Mali
Timbuktu | timbuktu | m.01lp9j | location.location.containedby | m.04v09 | Mali | The town of Timbuktu is in which African country? | Mali
Timbuktu | timbuktu | m.02hxgf4 | language.human_language.main_country | m.04v09 | Mali | In which country is Timbuktu? | Mali
Timbuktu | timbuktu | m.02hxgf4 | language.human_language.main_country | m.04v09 | Mali | The town of Timbuktu is in which African country? | Mali
Tim Burton | tim burton | m.07rd7 | film.director.film | m.01qxc7 | Beetlejuice | Which Tim Burton film starred Alec Baldwin and Geena Davis? | Beetlejuice
Tim Burton | tim burton | m.07rd7 | tv.tv_program_creator.programs_created | m.02qvb6 | Beetlejuice | Which Tim Burton film starred Alec Baldwin and Geena Davis? | Beetlejuice
Timehri Airport | cheddi jagan international airport | m.0bg697 | location.location.containedby | m.034m8 | Guyana | Timehri Airport is found where? | Guyana
Time of Your Life | good riddance | m.0124h_8 | music.recording.artist | m.0dvqq | Green Day | Good Riddance (Time of Your Life) was a 1990s release by which band? | Green Day
Time of Your Life | good riddance | m.0n22cm1 | music.music_video.artist | m.0dvqq | Green Day | Good Riddance (Time of Your Life) was a 1990s release by which band? | Green Day
Time Out Of Mind | time out of mind | m.03qtyb | music.album.artist | m.01vrncs | Bob Dylan | Which ageing rock star won three Grammy awards in 1998, including one for his album `Time Out Of Mind`? | Bob Dylan
Time Out of Mind | time out of mind | m.03qtyb | music.album.artist | m.01vrncs | Bob Dylan | which solo artist won the 1996 Grammy Award for “Time Out of Mind”? | Bob Dylan
Time | time | m.0sh7nz6 | music.release.track_list | m.0slhvwn | Dreams | What was Morpheus the Greek god of? Sleep, Dreams or Time? | Dreams
